lead_h,station_id,station_effect_c,n_common_cases,n_daily_blocks,latitude,longitude,altitude_m,era5_grid_elevation_m,delta_z_m,abs_delta_z_m,coast_stratum
48,c15m250e24,-0.03730450673857466,714,358,39.4754526,-0.37635905,25.0,125.1956495398714,-100.1956495398714,100.1956495398714,coast_0_25km
48,c15m250e26,-0.1688571918631594,712,361,39.458332,-0.350283,7.0,106.2561167252617,-99.2561167252617,99.2561167252617,coast_0_25km
48,c17m095e02,-0.1192038637090449,668,336,39.55911,-1.280302,771.0,768.6403501700389,2.3596498299610857,2.3596498299610857,interior_gt25km
48,c17m129e01,-0.08573884581167324,707,354,39.585544,-1.364369,880.0,804.3888776363823,75.61112236361771,75.61112236361771,interior_gt25km
48,c17m213e03,-0.4085829455698128,717,359,39.488611,-1.080833,725.0,660.8646236231089,64.13537637689114,64.13537637689114,interior_gt25km
48,c17m213e06,0.18718672520796276,717,360,39.296389,-1.134444,355.0,692.0764473450203,-337.07644734502026,337.07644734502026,interior_gt25km
48,c17m213e07,-0.4549550885767255,697,350,39.469106,-1.012952,708.0,640.1137223201514,67.8862776798486,67.8862776798486,interior_gt25km
48,c17m213e10,-0.23296278658713343,718,361,39.46573,-1.086122,645.0,664.2893629286232,-19.289362928623177,19.289362928623177,interior_gt25km
48,c17m249e01,-0.1806731856938616,667,337,39.6694444,-1.25944417,813.0,853.7945040623991,-40.79450406239914,40.79450406239914,interior_gt25km
48,c18m111e01,0.005114175420146916,685,346,39.4778,-0.7211,293.0,384.5513025225687,-91.55130252256868,91.55130252256868,interior_gt25km
48,c18m111e03,0.09954657949985701,708,362,39.4364925,-0.57001,167.0,246.15983656388292,-79.15983656388295,79.15983656388295,coast_0_25km
48,c19m044e02,-0.027588595324124054,722,362,38.9291697,-1.10236464,671.0,744.3199848232512,-73.31998482325116,73.31998482325116,interior_gt25km
48,c19m099e02,-0.2307665719389046,694,349,39.307525,-0.96,665.0,605.9696113789596,59.0303886210404,59.0303886210404,interior_gt25km
48,c20m017e05,-0.10380596381310425,695,360,39.1339,-0.376654,120.0,150.96405006630272,-30.96405006630272,30.96405006630272,coast_0_25km
48,c20m017e06,0.02563675680628119,716,359,39.0997,-0.3704,88.0,171.30686737074967,-83.30686737074967,83.30686737074967,coast_0_25km
48,c20m017e08,-0.020453873706086978,718,361,39.147864,-0.482521,20.0,202.6433298780348,-182.6433298780348,182.6433298780348,coast_0_25km
48,c20m017e12,-0.03465272020255583,719,361,39.115728,-0.354397,130.0,150.7205131541632,-20.7205131541632,20.7205131541632,coast_0_25km
