lead_h,sensitivity,block_days,reference,model,n_common_cases,n_stations,n_daily_blocks,mae_c_day_weighted,mae_ci_low_c,mae_ci_high_c,winner_probability,mae_rank
24,raw_abs_delta_z_lt_100m,7,avamet,pangu_hres_init,53554,76,363,1.6314451385355608,1.5743748159097382,1.6890700340849738,0.0,3
24,raw_abs_delta_z_lt_100m,7,era5_station,pangu_hres_init,53554,76,363,0.8361933121224161,0.8051774461082302,0.867467079460397,1.0,1
24,raw_abs_delta_z_lt_100m,7,era5_station,graphcast_hres_init,53554,76,363,0.916503214446489,0.8884793282478575,0.9446669672955637,0.0,2
24,raw_abs_delta_z_lt_100m,7,era5_station,ifs_hres,53554,76,363,1.1421133295490875,1.1006949213550108,1.1844140832580194,0.0,3
24,raw_abs_delta_z_lt_200m,1,avamet,graphcast_hres_init,88724,126,363,1.584781014288013,1.5558931586598013,1.6142289136934216,1.0,1
24,raw_abs_delta_z_lt_200m,1,avamet,pangu_hres_init,88724,126,363,1.6450456195783405,1.6103493134694173,1.6784480145517067,0.0,2
24,raw_abs_delta_z_lt_200m,1,avamet,ifs_hres,88724,126,363,1.6857565658568698,1.6537671066295072,1.718692128534132,0.0,3
24,raw_abs_delta_z_lt_200m,1,era5_station,pangu_hres_init,88724,126,363,0.8489374888572406,0.8258298690252178,0.8722186499516987,1.0,1
24,raw_abs_delta_z_lt_200m,1,era5_station,graphcast_hres_init,88724,126,363,0.9143497353615984,0.8927104547174023,0.9365551985788385,0.0,2
24,raw_abs_delta_z_lt_200m,1,era5_station,ifs_hres,88724,126,363,1.1380935435928412,1.1092894724388371,1.1703291401257694,0.0,3
24,raw_abs_delta_z_lt_200m,3,avamet,graphcast_hres_init,88724,126,363,1.584781014288013,1.5505374188769065,1.6226155864212746,1.0,1
24,raw_abs_delta_z_lt_200m,3,avamet,pangu_hres_init,88724,126,363,1.6450456195783405,1.6041925523991387,1.687486958160197,0.0,2
24,raw_abs_delta_z_lt_200m,3,avamet,ifs_hres,88724,126,363,1.6857565658568698,1.6432985752358995,1.731489522887577,0.0,3
24,raw_abs_delta_z_lt_200m,3,era5_station,pangu_hres_init,88724,126,363,0.8489374888572406,0.8232924124877418,0.8776276272885122,1.0,1
24,raw_abs_delta_z_lt_200m,3,era5_station,graphcast_hres_init,88724,126,363,0.9143497353615984,0.88803243763073,0.9409321320554309,0.0,2
24,raw_abs_delta_z_lt_200m,3,era5_station,ifs_hres,88724,126,363,1.1380935435928412,1.102992483518646,1.1748555804536307,0.0,3
24,raw_abs_delta_z_lt_200m,5,avamet,graphcast_hres_init,88724,126,363,1.584781014288013,1.5460519285082395,1.6288840535842435,1.0,1
24,raw_abs_delta_z_lt_200m,5,avamet,pangu_hres_init,88724,126,363,1.6450456195783405,1.599536706476621,1.6929770036020744,0.0,2
24,raw_abs_delta_z_lt_200m,5,avamet,ifs_hres,88724,126,363,1.6857565658568698,1.6354935743352486,1.7415312003089831,0.0,3
24,raw_abs_delta_z_lt_200m,5,era5_station,pangu_hres_init,88724,126,363,0.8489374888572406,0.8201970307642484,0.8795208918056224,1.0,1
24,raw_abs_delta_z_lt_200m,5,era5_station,graphcast_hres_init,88724,126,363,0.9143497353615984,0.8875441203685991,0.9432946746369691,0.0,2
24,raw_abs_delta_z_lt_200m,5,era5_station,ifs_hres,88724,126,363,1.1380935435928412,1.0968620332329424,1.1796732018665872,0.0,3
24,raw_abs_delta_z_lt_200m,7,avamet,graphcast_hres_init,88724,126,363,1.584781014288013,1.5420769823586018,1.6303662693847711,1.0,1
24,raw_abs_delta_z_lt_200m,7,avamet,pangu_hres_init,88724,126,363,1.6450456195783405,1.5969324212517435,1.6966154730968004,0.0,2
24,raw_abs_delta_z_lt_200m,7,avamet,ifs_hres,88724,126,363,1.6857565658568698,1.6329491058707013,1.745298559261285,0.0,3
24,raw_abs_delta_z_lt_200m,7,era5_station,pangu_hres_init,88724,126,363,0.8489374888572406,0.8198407219796396,0.8788664093917936,1.0,1
24,raw_abs_delta_z_lt_200m,7,era5_station,graphcast_hres_init,88724,126,363,0.9143497353615984,0.8855817709904629,0.944248121218411,0.0,2
24,raw_abs_delta_z_lt_200m,7,era5_station,ifs_hres,88724,126,363,1.1380935435928412,1.096690060619872,1.182952804095436,0.0,3
24,raw_abs_delta_z_lt_50m,1,avamet,graphcast_hres_init,26757,38,363,1.563525988730459,1.525987229952584,1.6026206383223451,0.9875,1
24,raw_abs_delta_z_lt_50m,1,avamet,ifs_hres,26757,38,363,1.5870888356210981,1.5527341401297647,1.6227581459822864,0.0125,2
24,raw_abs_delta_z_lt_50m,1,avamet,pangu_hres_init,26757,38,363,1.6193480723205194,1.5771693407077376,1.662413503049253,0.0,3
24,raw_abs_delta_z_lt_50m,1,era5_station,pangu_hres_init,26757,38,363,0.7976484303092092,0.7763120882584703,0.8212755448421529,1.0,1
24,raw_abs_delta_z_lt_50m,1,era5_station,graphcast_hres_init,26757,38,363,0.8757542969760407,0.8543527014796289,0.897013855319543,0.0,2
24,raw_abs_delta_z_lt_50m,1,era5_station,ifs_hres,26757,38,363,1.078087852721253,1.0522619695011426,1.1049594142502817,0.0,3
24,raw_abs_delta_z_lt_50m,3,avamet,graphcast_hres_init,26757,38,363,1.563525988730459,1.5160208381949627,1.6167491913347096,0.9505,1
24,raw_abs_delta_z_lt_50m,3,avamet,ifs_hres,26757,38,363,1.5870888356210981,1.5395425416855721,1.6387133372501332,0.0495,2
24,raw_abs_delta_z_lt_50m,3,avamet,pangu_hres_init,26757,38,363,1.6193480723205194,1.5651797588071947,1.6771047795982634,0.0,3
24,raw_abs_delta_z_lt_50m,3,era5_station,pangu_hres_init,26757,38,363,0.7976484303092092,0.7723603563150323,0.8227395972059101,1.0,1
24,raw_abs_delta_z_lt_50m,3,era5_station,graphcast_hres_init,26757,38,363,0.8757542969760407,0.8510598755797529,0.9012103986657339,0.0,2
24,raw_abs_delta_z_lt_50m,3,era5_station,ifs_hres,26757,38,363,1.078087852721253,1.0459823107901993,1.1111971190151473,0.0,3
