cell_id,mae_advantage_c,rmse_advantage_c,minimum_days,maximum_days,sites,mean_latitude,mean_longitude,absolute_latitude_deg,altitude_m,station_minus_era5_elevation_m,absolute_elevation_mismatch_m,era5_orography_sd_m,era5_filtered_subgrid_orography_sd_m,era5_subgrid_orography_slope,era5_land_fraction_100km,era5_landsea_heterogeneity_100km,climate_belt,spatial_block
b146s0099,-0.5879279478303562,-0.6647725740520977,364,364,1,41.55,120.45,41.55,176.0,-155.84691637817036,155.84691637817036,74.68894042968712,59.873739013671646,0.0145619632303714,0.898603988331093,0.2606702948090885,subtropical,13_30
b146s0102,-0.428456442933489,-0.5499423183341429,364,364,1,41.7333333,123.5166666,41.7333333,43.0,-28.685763737416792,28.685763737416792,14.865431770426092,9.279472720475944,0.0019920643730204,0.9610190502352988,0.1447679958946863,subtropical,13_30
b146s0103,-0.7555360342665836,-1.0351823831809244,365,365,1,42.0666666,124.8666666,42.0666666,230.0,-191.9796258974948,191.9796258974948,92.22820253069033,64.4310887530115,0.0168614305957244,0.9844809728151228,0.0586022324956686,subtropical,13_30
b146s0105,-0.47104098843565884,-0.21582715340180206,365,365,1,41.8,126.9166666,41.8,381.0,-342.6190489366261,342.6190489366261,136.09558744639202,116.15549525893591,0.0247486465345764,0.9740238508200332,0.1167793511520119,subtropical,13_30
b146s0106,-1.061912072111105,-1.2785637874929996,365,365,1,41.4166666,128.1833333,41.4166666,775.0,-389.1106727246331,389.1106727246331,143.32740849549754,107.71284783391394,0.0216572113616507,0.8503481392670039,0.3231149463182638,subtropical,13_30
b146s0107,-0.5618744682839508,-0.7297442950489472,365,365,1,41.7833333,129.8166666,41.7833333,43.0,-147.89488879480373,147.89488879480373,82.47000463364867,52.71116894235723,0.0121464653992388,0.5696047223124141,0.4572396090770783,subtropical,13_30
b146s0115,-0.7935975633997924,-0.8328909938798009,349,349,1,41.8666666,140.1166666,41.8666666,12.13,-128.73531401829146,128.73531401829146,42.86218530775017,24.81829243177426,0.0065140716250288,0.2638828861415258,0.3284951575947269,subtropical,13_32
b146s0116,-0.6125030064120848,-0.7360038368442696,365,365,1,41.8166666,140.75,41.8166666,43.9,-75.77278694479531,75.77278694479531,70.02906706752755,50.17679085906857,0.0109451753812876,0.3196622766149176,0.3473354079809074,subtropical,13_32
b146s0118,-0.5188424216793784,-0.7331626415445536,365,365,2,42.2333333,143.04999995,42.2333333,36.35,-128.7068316937061,128.7068316937061,100.50192041904216,60.61618346300635,0.0170224349034969,0.3580424960195399,0.4200034924572086,subtropical,13_32
b146s0229,-0.3699547639702427,-0.5458512111762271,365,365,2,42.15444465,-82.927778,42.15444465,190.29,12.139603149518123,12.139603149518123,3.246385493632149,1.5275364686320183,0.0005076722043443,0.7558247978688137,0.3267653039631819,subtropical,13_9
b146s0290,-0.5547846190376244,-0.7369251588182117,365,365,1,42.2318,-8.626775,42.2318,260.6,25.123835681024417,25.123835681024417,100.13362920363224,96.44256492324786,0.0204739846450462,0.5292020650750136,0.4589285534809457,subtropical,13_17
b146s0294,-0.2703627312335917,-0.35889413296829814,365,365,1,41.6333333,-4.75,41.6333333,735.0,-46.86626385730597,46.86626385730597,42.85862282050768,29.537387069421285,0.0074628563438057,0.9757581575740149,0.1278675010272131,subtropical,13_17
b146s0297,-0.28423258556384506,-0.4410122374602406,365,365,2,41.87478765,-0.68744315,41.87478765,408.52,-69.46764761928688,69.46764761928688,99.36244133201193,55.14881889092953,0.0149445624814557,0.950432109140003,0.1854402711863542,subtropical,13_17
b147s0000,-0.8229330569722069,-0.9158688654095619,365,365,1,43.007764,1.10315,43.007764,416.96,-362.314973510964,362.314973510964,213.6704531721755,159.62822869263658,0.0327224371555561,0.9364651187512466,0.2129414313067924,subtropical,13_18
b147s0002,-0.2507519359486399,-0.3999333730549104,365,365,3,42.72459173333333,3.023555633333333,42.72459173333333,59.96333333333333,-45.30227041991129,60.17881101332989,113.06014315481174,64.97915491165723,0.0171616466606676,0.592286495968145,0.4459443083756658,subtropical,13_18
b147s0005,-1.1183941752811388,-1.4136865130250984,365,365,1,43.097344,6.146028,43.097344,2.13,-110.52485138715258,110.52485138715258,92.18284647641472,50.096702440103904,0.0123389774769673,0.377192689675624,0.4378943918218083,subtropical,13_18
b147s0007,-1.3387632715202216,-1.5475311725299037,365,365,3,42.5722501,9.064528866666668,42.5722501,74.87333333333333,-227.1295976759211,227.1295976759211,154.80080337139302,116.24154623541364,0.0242178821931673,0.2498105696057891,0.3547095810883365,subtropical,13_18
b147s0009,-0.8198259791809995,-0.9565389163389949,364,364,1,42.759722,11.071944,42.759722,4.57,-87.11323945450786,87.11323945450786,56.29888549305412,45.7944463319197,0.0095706023191912,0.5128342825915534,0.4410267481385975,subtropical,13_19
b147s0013,-1.5913273330733242,-1.8930901856971836,365,365,2,42.96666665,16.674999999999997,42.96666665,106.0,78.67213198642624,87.94607424152234,3.0517578125e-05,3.0517578125e-05,0.0001000016927719,0.4316735162816753,0.4342480662079261,subtropical,13_19
b147s0014,-1.2710239486743982,-1.469560476717463,365,365,3,42.75378433333333,17.9338591,42.75378433333333,72.87333333333333,-182.5721905170858,182.5721905170858,64.53557613563615,54.72435827010628,0.0129464147163783,0.5483298610490618,0.4431614383531129,subtropical,13_19
b147s0015,-2.031551330569554,-2.2589478401072647,365,365,4,42.492832625,19.051654825,42.492832625,184.0225,-440.5356660449452,440.5356660449452,242.1465466627573,161.55133360060876,0.0402999194162615,0.6757397298452961,0.4143212439396108,subtropical,13_19
b147s0019,-0.47819862623822407,-0.5536178239556281,365,365,1,42.695194,23.406167,42.695194,530.96,-345.0991548637845,345.0991548637845,244.5760256321329,152.89774868721213,0.0401542101805684,0.9841562300917251,0.0769064313576347,subtropical,13_20
b147s0020,-0.5659218705408036,-0.6876695345701785,365,365,1,43.15,24.7,43.15,221.0,-172.53212329133964,172.53212329133964,119.25000610351648,85.86520629882854,0.019432108104229,0.9828008617641196,0.0732768787544407,subtropical,13_20
b147s0022,-0.4051341405101146,-0.5976558999948779,365,365,1,42.569583,27.515236,42.569583,41.14,-67.39780262145939,67.39780262145939,60.06841100664439,39.97293255458863,0.0087702330989308,0.6598695992181176,0.4244450514040119,subtropical,13_20
b147s0056,-0.15764802419262733,-0.21180669263901616,365,365,1,42.364167,69.478889,42.364167,422.14,-44.49302439386804,44.49302439386804,37.31183755743472,21.6476049520146,0.0053867268289806,0.9899983569091348,0.0368121643585734,subtropical,13_24
b147s0057,-1.6797627602397196,-1.8627508008599791,365,365,1,42.4833333,70.3,42.4833333,808.0,-381.8599430869394,381.8599430869394,177.0461092025389,143.36231345261993,0.0319379221568342,0.9933894802240116,0.0229371180392704,subtropical,13_25
b147s0058,-0.18360853013937586,-0.24781628627721464,364,364,1,42.853611,71.303611,42.853611,665.68,-83.46596159743217,83.46596159743217,102.65365653826298,61.160127151320886,0.0151574168474193,0.994760779194728,0.0156464615250319,subtropical,13_25
b147s0060,-0.9345420614325946,-0.9287535864558633,365,365,1,42.85,74.5333333,42.85,760.0,-519.79431909352,519.79431909352,284.4756747736509,125.93153325417536,0.0276125570545832,0.9851071106470628,0.0734310727068331,subtropical,13_25
b147s0061,0.034165766001265606,0.05168905089788852,365,365,1,42.8333333,75.2833333,42.8333333,817.0,-719.5863080495408,719.5863080495408,408.99457779784353,162.65096325987608,0.0417943992523782,0.9669380044638324,0.1199053057833037,subtropical,13_25
b147s0072,0.13611530129469265,0.04522597675358616,365,365,1,42.95,89.2333333,42.95,39.3,-283.20373118372333,283.20373118372333,162.1626119421241,48.1823244803298,0.0168439679142419,0.9975251281467362,0.024290660590699,subtropical,13_26
b147s0076,-0.6926935292275377,-0.9204430700704997,365,365,1,42.8166667,93.5166667,42.8166667,739.0,-54.34275727128477,54.34275727128477,78.78220771836519,23.45008944619883,0.012143676508847,0.99888416805736,0.0050168526674858,subtropical,13_27
b147s0081,-1.7071726577321573,-1.9265565610997213,365,365,1,42.9,100.2166667,42.9,1494.0,170.10340067941138,170.10340067941138,71.3925905607176,28.15928723345692,0.0085300265266984,0.9993664682828974,0.0042453375196404,subtropical,13_28
b147s0087,-0.5017992704616346,-0.7475273740215704,365,365,1,43.2,107.1666667,43.2,914.0,-181.5107119961353,181.5107119961353,33.54011602109592,14.537325254311526,0.0041971561034548,0.9999043031024212,0.0006092385764022,subtropical,13_28
b147s0089,-0.04910301771553649,-0.0669164999910729,365,365,2,42.8583333,109.675,42.8583333,718.0,-414.5314242468495,478.68707581256456,39.5263567326117,19.67088978360665,0.0056369151407584,0.999622885542873,0.0013747584349173,subtropical,13_28
b147s0098,-0.433482001656093,-0.6042281839360479,364,364,1,42.3333333,120.7,42.3333333,401.0,-26.902838558974334,26.902838558974334,52.55091693543945,34.74009609519041,0.0082041397011953,0.9723068307794764,0.1278264378852357,subtropical,13_30
b147s0100,-0.3162768730701024,-0.4401946942437092,365,365,1,42.4166666,122.5333333,42.4166666,84.0,-24.60374294713452,24.60374294713452,16.699923317153893,9.056936709876616,0.0023959077600424,0.978230134248436,0.0993770169915623,subtropical,13_30
