unit,extraction,stratum,block_days,model_a,model_b,era5_delta_mae_a_minus_b_c,avamet_delta_mae_a_minus_b_c,avamet_minus_era5_delta_mae_c,switch_ci_low_c,switch_ci_high_c,p_switch_gt_zero,p_pairwise_order_reverses,lead_h
station,bilinear,sparse_2_3,7,graphcast_hres_init,pangu_hres_init,0.03042625091774165,-0.10247362997131115,-0.1329084246838017,-0.1620890489272918,-0.10325935922889821,0.0,0.9615,24
station,bilinear,sparse_2_3,7,ifs_hres,graphcast_hres_init,0.2121943488284338,0.08235023867612123,-0.12973360673932657,-0.16143951908510834,-0.10103585176074113,0.0,0.0,24
station,bilinear,sparse_2_3,7,ifs_hres,pangu_hres_init,0.24262059974617545,-0.02012339129518992,-0.2626420314231283,-0.30023893404391727,-0.22722598340192068,0.0,0.874,24
station,nearest,all_eligible,1,graphcast_hres_init,pangu_hres_init,0.027864694595336914,-0.07031046212006742,-0.09754758227929546,-0.116833398904702,-0.07968177097526769,0.0,0.9815,24
station,nearest,all_eligible,1,ifs_hres,graphcast_hres_init,0.2888585329055786,0.13908771304409084,-0.14953887868201735,-0.16841833122102134,-0.13007660054228998,0.0,0.0,24
station,nearest,all_eligible,1,ifs_hres,pangu_hres_init,0.3167232275009155,0.06877725092402343,-0.24708646096131281,-0.2724459929493741,-0.2216338569621404,0.0,0.0,24
station,nearest,all_eligible,3,graphcast_hres_init,pangu_hres_init,0.027864694595336914,-0.07031046212006742,-0.09808364888603167,-0.12039794945284749,-0.07598547144870453,0.0,0.9665,24
station,nearest,all_eligible,3,ifs_hres,graphcast_hres_init,0.2888585329055786,0.13908771304409084,-0.1494529857098964,-0.17088853861383654,-0.12814031504882661,0.0,0.0,24
station,nearest,all_eligible,3,ifs_hres,pangu_hres_init,0.3167232275009155,0.06877725092402343,-0.2475366345959281,-0.27719094311410913,-0.21854700319568202,0.0,0.0,24
station,nearest,all_eligible,5,graphcast_hres_init,pangu_hres_init,0.027864694595336914,-0.07031046212006742,-0.09805437195675173,-0.12173694321224929,-0.07530551956545137,0.0,0.948,24
station,nearest,all_eligible,5,ifs_hres,graphcast_hres_init,0.2888585329055786,0.13908771304409084,-0.14980130392997568,-0.17196360446130687,-0.12762829800680414,0.0,0.0,24
station,nearest,all_eligible,5,ifs_hres,pangu_hres_init,0.3167232275009155,0.06877725092402343,-0.24785567588672744,-0.2792010885893526,-0.21838742322890367,0.0,0.0,24
station,nearest,all_eligible,7,graphcast_hres_init,pangu_hres_init,0.027864694595336914,-0.07031046212006742,-0.09775113249378503,-0.12232889144337775,-0.07242501801135329,0.0,0.9405,24
station,nearest,all_eligible,7,ifs_hres,graphcast_hres_init,0.2888585329055786,0.13908771304409084,-0.1498140806746494,-0.17222994052702295,-0.12782402981757907,0.0,0.0,24
