unit,extraction,stratum,block_days,reference,model,n_common_cases,n_units,n_daily_blocks,mae_c_day_weighted,mae_ci_low_c,mae_ci_high_c,winner_probability,mae_rank,lead_h
station,bilinear,sparse_2_3,5,era5,ifs_hres,24815,35,363,1.1605635143345991,1.1187835480188058,1.2046419327441398,0.0,3,24
station,bilinear,sparse_2_3,7,avamet,graphcast_hres_init,24815,35,363,1.5520664958572346,1.4903004906392159,1.6154752063418392,1.0,1,24
station,bilinear,sparse_2_3,7,avamet,ifs_hres,24815,35,363,1.6344167345333571,1.578073240501749,1.6943097537537448,0.0,2,24
station,bilinear,sparse_2_3,7,avamet,pangu_hres_init,24815,35,363,1.654540125828546,1.5953086040228124,1.7138902993714777,0.0,3,24
station,bilinear,sparse_2_3,7,era5,pangu_hres_init,24815,35,363,0.9179429145884239,0.8832828616462404,0.952938011470381,0.9615,1,24
station,bilinear,sparse_2_3,7,era5,graphcast_hres_init,24815,35,363,0.9483691655061649,0.9189117950983748,0.9777746055748068,0.0385,2,24
station,bilinear,sparse_2_3,7,era5,ifs_hres,24815,35,363,1.1605635143345991,1.1127754977102478,1.2110462999674216,0.0,3,24
station,nearest,all_eligible,1,avamet,graphcast_hres_init,102976,146,363,1.6770421900531476,1.648419038885961,1.7045132169611446,1.0,1,24
station,nearest,all_eligible,1,avamet,pangu_hres_init,102976,146,363,1.7473526521732157,1.7154650491926204,1.7799844589342273,0.0,2,24
station,nearest,all_eligible,1,avamet,ifs_hres,102976,146,363,1.8161299030972393,1.7840731575561426,1.8463139370432353,0.0,3,24
station,nearest,all_eligible,1,era5,pangu_hres_init,102976,146,363,0.9757739901542664,0.9510572254657745,1.0015727132558823,0.9815,1,24
station,nearest,all_eligible,1,era5,graphcast_hres_init,102976,146,363,1.0036394596099854,0.9815064042806625,1.026897320151329,0.0185,2,24
station,nearest,all_eligible,1,era5,ifs_hres,102976,146,363,1.292497158050537,1.2660061717033386,1.319595780968666,0.0,3,24
station,nearest,all_eligible,3,avamet,graphcast_hres_init,102976,146,363,1.6770421900531476,1.6426647954315194,1.713689583585477,1.0,1,24
station,nearest,all_eligible,3,avamet,pangu_hres_init,102976,146,363,1.7473526521732157,1.7065094720601086,1.7902585733948242,0.0,2,24
station,nearest,all_eligible,3,avamet,ifs_hres,102976,146,363,1.8161299030972393,1.777447005810668,1.857897899746236,0.0,3,24
