unit,extraction,stratum,block_days,n_common_cases,n_units,n_daily_blocks,avamet_winner,era5_winner,p_winners_differ,primary_pair,primary_effect_c,primary_effect_ci_low_c,primary_effect_ci_high_c,primary_pair_reversal_probability,lead_h
station,bilinear,dense_4_plus,3,66461,95,361,graphcast_hres_init,pangu_hres_init,0.9995,graphcast_hres_init__minus__pangu_hres_init,-0.16500974321067968,-0.19181930494491356,-0.13675793672453565,0.9995,72
station,bilinear,dense_4_plus,5,66461,95,361,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.16544407559458554,-0.1932867523871631,-0.13688230248603434,1.0,72
station,bilinear,dense_4_plus,7,66461,95,361,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.16542084281038671,-0.19198586143408936,-0.13872504514943668,1.0,72
station,bilinear,single_station,1,11276,16,361,ifs_hres,pangu_hres_init,0.9175,graphcast_hres_init__minus__pangu_hres_init,-0.17491714245098916,-0.20691971868607975,-0.14117111966475193,0.7025,72
station,bilinear,single_station,3,11276,16,361,ifs_hres,pangu_hres_init,0.9075,graphcast_hres_init__minus__pangu_hres_init,-0.17541432086884987,-0.21517602961737914,-0.1371430634844977,0.6835,72
station,bilinear,single_station,5,11276,16,361,ifs_hres,pangu_hres_init,0.9,graphcast_hres_init__minus__pangu_hres_init,-0.1746189543617996,-0.21657069817191751,-0.1340762036093358,0.6695,72
station,bilinear,single_station,7,11276,16,361,ifs_hres,pangu_hres_init,0.908,graphcast_hres_init__minus__pangu_hres_init,-0.1750446041827408,-0.21952141017490573,-0.13269229509902203,0.68,72
station,bilinear,sparse_2_3,1,24675,35,361,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.1470354944941081,-0.17542564192605756,-0.11785369721500484,1.0,72
station,bilinear,sparse_2_3,3,24675,35,361,graphcast_hres_init,pangu_hres_init,1.0,graphcast_hres_init__minus__pangu_hres_init,-0.14750371423688216,-0.18177609576669768,-0.11540854894525678,1.0,72
station,bilinear,sparse_2_3,5,24675,35,361,graphcast_hres_init,pangu_hres_init,0.999,graphcast_hres_init__minus__pangu_hres_init,-0.14701564512400028,-0.18153998039469846,-0.11362803865262819,0.999,72
station,bilinear,sparse_2_3,7,24675,35,361,graphcast_hres_init,pangu_hres_init,0.9995,graphcast_hres_init__minus__pangu_hres_init,-0.14723043466630137,-0.18078094645075968,-0.11266355165245934,0.9995,72
station,nearest,all_eligible,1,102412,146,361,graphcast_hres_init,pangu_hres_init,0.5,graphcast_hres_init__minus__pangu_hres_init,-0.10602167059103292,-0.12757213417227567,-0.08512099711717908,0.5,72
station,nearest,all_eligible,3,102412,146,361,graphcast_hres_init,pangu_hres_init,0.486,graphcast_hres_init__minus__pangu_hres_init,-0.10602155782425146,-0.13253158673679805,-0.0805442077372876,0.486,72
station,nearest,all_eligible,5,102412,146,361,graphcast_hres_init,pangu_hres_init,0.487,graphcast_hres_init__minus__pangu_hres_init,-0.10591660722712287,-0.13229985004315523,-0.0789046361397579,0.487,72
station,nearest,all_eligible,7,102412,146,361,graphcast_hres_init,pangu_hres_init,0.4855,graphcast_hres_init__minus__pangu_hres_init,-0.10619524306296085,-0.13091423572825403,-0.08003453881362768,0.4855,72
station,nearest,dense_4_plus,1,66461,95,361,graphcast_hres_init,graphcast_hres_init,0.097,graphcast_hres_init__minus__pangu_hres_init,-0.09747756279858737,-0.12199906154067822,-0.07173049323238595,0.097,72
station,nearest,dense_4_plus,3,66461,95,361,graphcast_hres_init,graphcast_hres_init,0.134,graphcast_hres_init__minus__pangu_hres_init,-0.0979004898013349,-0.1291924941443098,-0.0695647313770128,0.134,72
station,nearest,dense_4_plus,5,66461,95,361,graphcast_hres_init,graphcast_hres_init,0.1365,graphcast_hres_init__minus__pangu_hres_init,-0.09733771617896175,-0.1274071030461205,-0.06922999723965795,0.1365,72
station,nearest,dense_4_plus,7,66461,95,361,graphcast_hres_init,graphcast_hres_init,0.135,graphcast_hres_init__minus__pangu_hres_init,-0.09763872022804611,-0.12831537783339345,-0.06898272740636845,0.135,72
station,nearest,single_station,1,11276,16,361,graphcast_hres_init,pangu_hres_init,0.856,graphcast_hres_init__minus__pangu_hres_init,-0.13699138942786737,-0.16791027615157428,-0.10706514570358018,0.856,72
station,nearest,single_station,3,11276,16,361,graphcast_hres_init,pangu_hres_init,0.829,graphcast_hres_init__minus__pangu_hres_init,-0.13641360719305265,-0.17282536101625282,-0.10069058703154751,0.829,72
