lead_h,stratum_type,stratum,block_days,reference,model,n_common_cases,n_stations,n_daily_blocks,mae_c_day_weighted,mae_ci_low_c,mae_ci_high_c,winner_probability,mae_rank
24,coast_stratum,interior_gt25km,1,avamet,ifs_hres,47960,68,363,1.6668429300210594,1.6351633295405146,1.7002146615143527,0.0,2
24,coast_stratum,interior_gt25km,1,avamet,pangu_hres_init,47960,68,363,1.6761321251755579,1.6417821337487035,1.711377430440817,0.0,3
24,coast_stratum,interior_gt25km,1,era5_station,pangu_hres_init,47960,68,363,0.926152804040274,0.8939272766212577,0.9577429880687315,1.0,1
24,coast_stratum,interior_gt25km,1,era5_station,graphcast_hres_init,47960,68,363,1.0223968558415357,0.9931435306459998,1.0520672883073074,0.0,2
24,coast_stratum,interior_gt25km,1,era5_station,ifs_hres,47960,68,363,1.2043397163940444,1.1673922490990087,1.2405587582390494,0.0,3
24,coast_stratum,interior_gt25km,3,avamet,graphcast_hres_init,47960,68,363,1.59536128867919,1.5554381552380367,1.63786503455628,1.0,1
24,coast_stratum,interior_gt25km,3,avamet,ifs_hres,47960,68,363,1.6668429300210594,1.627068200461736,1.7085185050076968,0.0,2
24,coast_stratum,interior_gt25km,3,avamet,pangu_hres_init,47960,68,363,1.6761321251755579,1.6354985776372537,1.7202176782474912,0.0,3
24,coast_stratum,interior_gt25km,3,era5_station,pangu_hres_init,47960,68,363,0.926152804040274,0.8911824057397787,0.9603756146933616,1.0,1
24,coast_stratum,interior_gt25km,3,era5_station,graphcast_hres_init,47960,68,363,1.0223968558415357,0.9889134532677558,1.055733228738188,0.0,2
24,coast_stratum,interior_gt25km,3,era5_station,ifs_hres,47960,68,363,1.2043397163940444,1.156605250787684,1.2526457250127037,0.0,3
24,coast_stratum,interior_gt25km,5,avamet,graphcast_hres_init,47960,68,363,1.59536128867919,1.5522702933665615,1.6390851692422028,1.0,1
24,coast_stratum,interior_gt25km,5,avamet,ifs_hres,47960,68,363,1.6668429300210594,1.6225900347212927,1.713873891789679,0.0,2
24,coast_stratum,interior_gt25km,5,avamet,pangu_hres_init,47960,68,363,1.6761321251755579,1.633376521933493,1.7216909936062172,0.0,3
24,coast_stratum,interior_gt25km,5,era5_station,pangu_hres_init,47960,68,363,0.926152804040274,0.8901869783566781,0.9636926383121277,1.0,1
24,coast_stratum,interior_gt25km,5,era5_station,graphcast_hres_init,47960,68,363,1.0223968558415357,0.9847619949557304,1.061263368643127,0.0,2
24,coast_stratum,interior_gt25km,5,era5_station,ifs_hres,47960,68,363,1.2043397163940444,1.1506891258893852,1.2610969010135418,0.0,3
24,coast_stratum,interior_gt25km,7,avamet,graphcast_hres_init,47960,68,363,1.59536128867919,1.5507442542614243,1.6452524908603627,1.0,1
24,coast_stratum,interior_gt25km,7,avamet,ifs_hres,47960,68,363,1.6668429300210594,1.6214560616551703,1.7159728744541594,0.0,2
24,coast_stratum,interior_gt25km,7,avamet,pangu_hres_init,47960,68,363,1.6761321251755579,1.6324357685285722,1.7250344761731304,0.0,3
24,coast_stratum,interior_gt25km,7,era5_station,pangu_hres_init,47960,68,363,0.926152804040274,0.8843709093342464,0.9695871465021719,1.0,1
24,coast_stratum,interior_gt25km,7,era5_station,graphcast_hres_init,47960,68,363,1.0223968558415357,0.9831739487377531,1.0648081185070672,0.0,2
24,coast_stratum,interior_gt25km,7,era5_station,ifs_hres,47960,68,363,1.2043397163940444,1.147327212285292,1.2669985575345164,0.0,3
48,all_eligible,all,1,avamet,graphcast_hres_init,102694,146,362,1.6611355877243532,1.6312436031094892,1.6915869673703312,1.0,1
48,all_eligible,all,1,avamet,pangu_hres_init,102694,146,362,1.7408572143717278,1.7077256599655326,1.775173259889977,0.0,2
48,all_eligible,all,1,avamet,ifs_hres,102694,146,362,1.7672090517320183,1.7336037764918306,1.801032536802303,0.0,3
48,all_eligible,all,1,era5_station,pangu_hres_init,102694,146,362,0.884916587338844,0.8572988945745492,0.915142668090375,1.0,1
48,all_eligible,all,1,era5_station,graphcast_hres_init,102694,146,362,0.9735982413351127,0.9463301515567504,1.002655823896816,0.0,2
48,all_eligible,all,1,era5_station,ifs_hres,102694,146,362,1.2337861013599463,1.199344784471371,1.269951996329556,0.0,3
48,all_eligible,all,3,avamet,graphcast_hres_init,102694,146,362,1.6611355877243532,1.6251236711357855,1.6991807891486255,1.0,1
48,all_eligible,all,3,avamet,pangu_hres_init,102694,146,362,1.7408572143717278,1.6996212578699743,1.781729610555367,0.0,2
48,all_eligible,all,3,avamet,ifs_hres,102694,146,362,1.7672090517320183,1.722357490681707,1.8123795347325968,0.0,3
48,all_eligible,all,3,era5_station,pangu_hres_init,102694,146,362,0.884916587338844,0.8532866699270988,0.9162052725081492,1.0,1
48,all_eligible,all,3,era5_station,graphcast_hres_init,102694,146,362,0.9735982413351127,0.9415427944498653,1.0055516354506053,0.0,2
48,all_eligible,all,3,era5_station,ifs_hres,102694,146,362,1.2337861013599463,1.1889608003555083,1.2773287252031214,0.0,3
48,all_eligible,all,5,avamet,graphcast_hres_init,102694,146,362,1.6611355877243532,1.6205421976732088,1.7030732776702004,1.0,1
48,all_eligible,all,5,avamet,pangu_hres_init,102694,146,362,1.7408572143717278,1.697416253662,1.7867807143499121,0.0,2
48,all_eligible,all,5,avamet,ifs_hres,102694,146,362,1.7672090517320183,1.7161990423184277,1.821280756097761,0.0,3
48,all_eligible,all,5,era5_station,pangu_hres_init,102694,146,362,0.884916587338844,0.8537388245565052,0.9185285929676943,1.0,1
48,all_eligible,all,5,era5_station,graphcast_hres_init,102694,146,362,0.9735982413351127,0.939210576311266,1.0080290866213273,0.0,2
48,all_eligible,all,5,era5_station,ifs_hres,102694,146,362,1.2337861013599463,1.1860723677687186,1.2827215790343136,0.0,3
48,all_eligible,all,7,avamet,graphcast_hres_init,102694,146,362,1.6611355877243532,1.6185741088287227,1.7039394853514236,1.0,1
48,all_eligible,all,7,avamet,pangu_hres_init,102694,146,362,1.7408572143717278,1.693804813042137,1.7873516814703592,0.0,2
48,all_eligible,all,7,avamet,ifs_hres,102694,146,362,1.7672090517320183,1.7134902382906632,1.826275207764252,0.0,3
48,all_eligible,all,7,era5_station,pangu_hres_init,102694,146,362,0.884916587338844,0.8512420833553668,0.9188996206793633,1.0,1
48,all_eligible,all,7,era5_station,graphcast_hres_init,102694,146,362,0.9735982413351127,0.9380046316682319,1.0086035451267323,0.0,2
48,all_eligible,all,7,era5_station,ifs_hres,102694,146,362,1.2337861013599463,1.1815231788210352,1.290729780901152,0.0,3
48,altitude_stratum,altitude_high,1,avamet,graphcast_hres_init,34517,49,362,1.6993891547251418,1.6575392789823609,1.7413549194229292,0.995,1
48,altitude_stratum,altitude_high,1,avamet,ifs_hres,34517,49,362,1.7341227150141474,1.6938315130578887,1.7716948906228898,0.005,2
48,altitude_stratum,altitude_high,1,avamet,pangu_hres_init,34517,49,362,1.9031581572420773,1.8586917562315675,1.9465521467150306,0.0,3
48,altitude_stratum,altitude_high,1,era5_station,pangu_hres_init,34517,49,362,0.916028873311385,0.8841508421064935,0.9495461569063081,1.0,1
48,altitude_stratum,altitude_high,1,era5_station,graphcast_hres_init,34517,49,362,1.1044191426750918,1.0709314804880505,1.1395977452001296,0.0,2
48,altitude_stratum,altitude_high,1,era5_station,ifs_hres,34517,49,362,1.4339911402112648,1.391787349201877,1.4775469968206976,0.0,3
48,altitude_stratum,altitude_high,3,avamet,graphcast_hres_init,34517,49,362,1.6993891547251418,1.6456913287913122,1.751891379771393,0.9875,1
48,altitude_stratum,altitude_high,3,avamet,ifs_hres,34517,49,362,1.7341227150141474,1.686101177451731,1.7831592503858797,0.0125,2
48,altitude_stratum,altitude_high,3,avamet,pangu_hres_init,34517,49,362,1.9031581572420773,1.8536693011525347,1.9535651068637505,0.0,3
48,altitude_stratum,altitude_high,3,era5_station,pangu_hres_init,34517,49,362,0.916028873311385,0.8808591257050876,0.9513507480024594,1.0,1
48,altitude_stratum,altitude_high,3,era5_station,graphcast_hres_init,34517,49,362,1.1044191426750918,1.0609572240897067,1.149718519201606,0.0,2
48,altitude_stratum,altitude_high,3,era5_station,ifs_hres,34517,49,362,1.4339911402112648,1.3769079262081312,1.4953802185399652,0.0,3
48,altitude_stratum,altitude_high,5,avamet,graphcast_hres_init,34517,49,362,1.6993891547251418,1.6439696809766735,1.7566595879413986,0.9835,1
48,altitude_stratum,altitude_high,5,avamet,ifs_hres,34517,49,362,1.7341227150141474,1.6840275464916685,1.7851735275502032,0.0165,2
48,altitude_stratum,altitude_high,5,avamet,pangu_hres_init,34517,49,362,1.9031581572420773,1.8551313061176191,1.9554334796514838,0.0,3
48,altitude_stratum,altitude_high,5,era5_station,pangu_hres_init,34517,49,362,0.916028873311385,0.8758973096375635,0.9540426355867465,1.0,1
48,altitude_stratum,altitude_high,5,era5_station,graphcast_hres_init,34517,49,362,1.1044191426750918,1.0588040416439164,1.1485800654446534,0.0,2
48,altitude_stratum,altitude_high,5,era5_station,ifs_hres,34517,49,362,1.4339911402112648,1.3651993375429103,1.5024952052940812,0.0,3
