lead_h,stratum_type,stratum,block_days,model_a,model_b,era5_delta_mae_a_minus_b_c,avamet_delta_mae_a_minus_b_c,avamet_minus_era5_delta_mae_c,switch_ci_low_c,switch_ci_high_c,p_switch_gt_zero,p_pairwise_order_reverses
48,all_eligible,all,7,graphcast_hres_init,pangu_hres_init,0.08868165399626793,-0.07972162664737259,-0.16843786041042608,-0.19638196724068485,-0.1417290374994929,0.0,1.0
48,all_eligible,all,7,ifs_hres,graphcast_hres_init,0.2601878600248341,0.10607346400766171,-0.15452774257881666,-0.18009348145394477,-0.13142533149968377,0.0,0.0
48,all_eligible,all,7,ifs_hres,pangu_hres_init,0.348869514021102,0.02635183736028912,-0.3229656029892427,-0.35770734567412626,-0.28963148491933033,0.0,0.0975
48,altitude_stratum,altitude_high,1,graphcast_hres_init,pangu_hres_init,0.18839026936370695,-0.20376900251693386,-0.3924940685091889,-0.43836764631915354,-0.34728503534257443,0.0,1.0
48,altitude_stratum,altitude_high,1,ifs_hres,graphcast_hres_init,0.32957199753617417,0.034733560289005316,-0.2946461840497518,-0.3341988899374875,-0.2575508182060875,0.0,0.005
48,altitude_stratum,altitude_high,1,ifs_hres,pangu_hres_init,0.5179622668998811,-0.16903544222792855,-0.6871402525589408,-0.7390873642391321,-0.6359203963110016,0.0,1.0
48,altitude_stratum,altitude_high,3,graphcast_hres_init,pangu_hres_init,0.18839026936370695,-0.20376900251693386,-0.3932293773008387,-0.44881460093556264,-0.3380112969870627,0.0,1.0
48,altitude_stratum,altitude_high,3,ifs_hres,graphcast_hres_init,0.32957199753617417,0.034733560289005316,-0.2955529422214041,-0.3435626110661881,-0.24810196026111744,0.0,0.0125
48,altitude_stratum,altitude_high,3,ifs_hres,pangu_hres_init,0.5179622668998811,-0.16903544222792855,-0.6887823195222429,-0.753947224343414,-0.6210395148222453,0.0,1.0
48,altitude_stratum,altitude_high,5,graphcast_hres_init,pangu_hres_init,0.18839026936370695,-0.20376900251693386,-0.39257753223857483,-0.45392806374521544,-0.3346999940464803,0.0,1.0
48,altitude_stratum,altitude_high,5,ifs_hres,graphcast_hres_init,0.32957199753617417,0.034733560289005316,-0.29525491971872136,-0.3489561049942917,-0.24264991151214738,0.0,0.0165
48,altitude_stratum,altitude_high,5,ifs_hres,pangu_hres_init,0.5179622668998811,-0.16903544222792855,-0.6878324519572961,-0.7563763913423549,-0.6183526957737515,0.0,1.0
48,altitude_stratum,altitude_high,7,graphcast_hres_init,pangu_hres_init,0.18839026936370695,-0.20376900251693386,-0.3920337505721619,-0.456552681187925,-0.33374083178321523,0.0,1.0
48,altitude_stratum,altitude_high,7,ifs_hres,graphcast_hres_init,0.32957199753617417,0.034733560289005316,-0.2947630299303123,-0.3479368285902187,-0.2395106027542768,0.0,0.022
48,altitude_stratum,altitude_high,7,ifs_hres,pangu_hres_init,0.5179622668998811,-0.16903544222792855,-0.6867967805024742,-0.7615284368186063,-0.6138250122499052,0.0,1.0
48,altitude_stratum,altitude_low,1,graphcast_hres_init,pangu_hres_init,-0.028010751627581043,-0.05897865195230212,-0.030956735301129423,-0.05226105012403939,-0.008957597181092567,0.0035,0.0145
48,altitude_stratum,altitude_low,1,ifs_hres,graphcast_hres_init,0.19465442727503646,0.10858685642366384,-0.08551891443234831,-0.10684280746377994,-0.06344296110131108,0.0,0.0
48,altitude_stratum,altitude_low,1,ifs_hres,pangu_hres_init,0.1666436756474554,0.049608204471361717,-0.11647564973347772,-0.14308848730907736,-0.08837953873260011,0.0,0.002
48,altitude_stratum,altitude_low,3,graphcast_hres_init,pangu_hres_init,-0.028010751627581043,-0.05897865195230212,-0.030879533128382996,-0.055904933840850005,-0.0073775989820526735,0.006,0.028
48,altitude_stratum,altitude_low,3,ifs_hres,graphcast_hres_init,0.19465442727503646,0.10858685642366384,-0.08617158224803986,-0.11282324974033416,-0.05856192102811616,0.0,0.0
48,altitude_stratum,altitude_low,3,ifs_hres,pangu_hres_init,0.1666436756474554,0.049608204471361717,-0.11705111537642286,-0.14904376728716498,-0.08659884313707117,0.0,0.0055
48,altitude_stratum,altitude_low,5,graphcast_hres_init,pangu_hres_init,-0.028010751627581043,-0.05897865195230212,-0.031144089010776043,-0.05776216627908226,-0.0053747919039025295,0.008,0.0455
48,altitude_stratum,altitude_low,5,ifs_hres,graphcast_hres_init,0.19465442727503646,0.10858685642366384,-0.0860176433769697,-0.11339774775618633,-0.05808842282276823,0.0,0.0
48,altitude_stratum,altitude_low,5,ifs_hres,pangu_hres_init,0.1666436756474554,0.049608204471361717,-0.11716173238774576,-0.1500050986446476,-0.08566590989027506,0.0,0.0115
48,altitude_stratum,altitude_low,7,graphcast_hres_init,pangu_hres_init,-0.028010751627581043,-0.05897865195230212,-0.030496025779138056,-0.05524299131405389,-0.00592529820612754,0.01,0.043
48,altitude_stratum,altitude_low,7,ifs_hres,graphcast_hres_init,0.19465442727503646,0.10858685642366384,-0.08632073277221611,-0.11386233047404669,-0.05568361294273106,0.0,0.0
48,altitude_stratum,altitude_low,7,ifs_hres,pangu_hres_init,0.1666436756474554,0.049608204471361717,-0.11681675855135415,-0.1502235002493168,-0.08281002197374933,0.0,0.0135
48,altitude_stratum,altitude_mid,1,graphcast_hres_init,pangu_hres_init,0.10545853788929305,0.025743537083691592,-0.07999941563961399,-0.11084668397250519,-0.051101876883753665,0.0,0.0425
48,altitude_stratum,altitude_mid,1,ifs_hres,graphcast_hres_init,0.2557209892218426,0.17607644007870027,-0.07963828540684832,-0.10506709919861376,-0.05243409825170293,0.0,0.0
48,altitude_stratum,altitude_mid,1,ifs_hres,pangu_hres_init,0.36117952711113566,0.20181997716239186,-0.1596377010464623,-0.19352570766365942,-0.1258716269267223,0.0,0.0
48,altitude_stratum,altitude_mid,3,graphcast_hres_init,pangu_hres_init,0.10545853788929305,0.025743537083691592,-0.08041818135881951,-0.11523550313840646,-0.048235075368446054,0.0,0.081
48,altitude_stratum,altitude_mid,3,ifs_hres,graphcast_hres_init,0.2557209892218426,0.17607644007870027,-0.08023145821031878,-0.10823199753424362,-0.05190033693735855,0.0,0.0
48,altitude_stratum,altitude_mid,3,ifs_hres,pangu_hres_init,0.36117952711113566,0.20181997716239186,-0.16064963956913828,-0.19534209190586305,-0.12705544542913183,0.0,0.0
48,altitude_stratum,altitude_mid,5,graphcast_hres_init,pangu_hres_init,0.10545853788929305,0.025743537083691592,-0.08016507563700626,-0.11215877143796803,-0.04868311752832347,0.0,0.0875
48,altitude_stratum,altitude_mid,5,ifs_hres,graphcast_hres_init,0.2557209892218426,0.17607644007870027,-0.07916559809699927,-0.10901997056185544,-0.05017939554540071,0.0,0.0
48,altitude_stratum,altitude_mid,5,ifs_hres,pangu_hres_init,0.36117952711113566,0.20181997716239186,-0.15933067373400553,-0.19646831068647272,-0.12099248808700559,0.0,0.0
48,altitude_stratum,altitude_mid,7,graphcast_hres_init,pangu_hres_init,0.10545853788929305,0.025743537083691592,-0.07959374876012326,-0.11144005798997879,-0.04665549870165331,0.0,0.093
48,altitude_stratum,altitude_mid,7,ifs_hres,graphcast_hres_init,0.2557209892218426,0.17607644007870027,-0.07958022517969841,-0.1088973569553205,-0.050338017088597815,0.0,0.0
48,altitude_stratum,altitude_mid,7,ifs_hres,pangu_hres_init,0.36117952711113566,0.20181997716239186,-0.1591739739398217,-0.1956661219260661,-0.123524950304752,0.0,0.0
48,coast_stratum,coast_0_25km,1,graphcast_hres_init,pangu_hres_init,0.045341307548637744,-0.08725832611260631,-0.1326122405821046,-0.15579528886409585,-0.10839957074601923,0.0,1.0
