network,model,reference,sigma_km,block_days,metric,change,ci_low,ci_high,p_smoothing_improves
inmet_hourly,graphcast_era5,era5,25.0,7,mae,0.031960869864097866,0.030420774571326793,0.03351284997794614,0.0
inmet_hourly,graphcast_era5,era5,50.0,7,mae,0.14612887362392935,0.14166877565920677,0.15101043860068258,0.0
inmet_hourly,graphcast_era5,era5,100.0,7,mae,0.3430035700387095,0.33531954749441556,0.35099396799996274,0.0
inmet_hourly,graphcast_era5,era5,12.5,1,rmse,0.0010762773382780695,0.000946110852977533,0.0012043104388693214,0.0
inmet_hourly,graphcast_era5,era5,25.0,1,rmse,0.03316654039410559,0.03193115301456552,0.03437894891898487,0.0
inmet_hourly,graphcast_era5,era5,50.0,1,rmse,0.17474604009680514,0.17049433125831834,0.17882785626276157,0.0
inmet_hourly,graphcast_era5,era5,100.0,1,rmse,0.4349246686396881,0.4265141686735815,0.44369147036677975,0.0
inmet_hourly,graphcast_era5,era5,12.5,3,rmse,0.001077676558273533,0.0009296982768878109,0.0012240575651560252,0.0
inmet_hourly,graphcast_era5,era5,25.0,3,rmse,0.033171167838023416,0.03169665451046872,0.03456152389621343,0.0
inmet_hourly,graphcast_era5,era5,50.0,3,rmse,0.17473788740523202,0.16960382669572424,0.17975952545471915,0.0
inmet_hourly,graphcast_era5,era5,100.0,3,rmse,0.4348952482642915,0.42496047269726417,0.4450029639614207,0.0
inmet_hourly,graphcast_era5,era5,12.5,5,rmse,0.0010785549046177475,0.0009202453751171208,0.0012339776504045664,0.0
inmet_hourly,graphcast_era5,era5,25.0,5,rmse,0.03317281643729773,0.03161694788409306,0.03465820654224009,0.0
inmet_hourly,graphcast_era5,era5,50.0,5,rmse,0.17476141730388087,0.16903912347167674,0.18016927550049128,0.0
inmet_hourly,graphcast_era5,era5,100.0,5,rmse,0.4349213753878056,0.4238438682823454,0.4456400917927621,0.0
inmet_hourly,graphcast_era5,era5,12.5,7,rmse,0.0010775240508280434,0.0009039771372355149,0.0012512093881171082,0.0
inmet_hourly,graphcast_era5,era5,25.0,7,rmse,0.03316041060042083,0.03145131640189093,0.03489909464491211,0.0
inmet_hourly,graphcast_era5,era5,50.0,7,rmse,0.1747130209187219,0.16856067818557563,0.18073190271860431,0.0
inmet_hourly,graphcast_era5,era5,100.0,7,rmse,0.4349107536082049,0.42293401293607025,0.4468572454775129,0.0
inmet_hourly,graphcast_era5,station,12.5,1,centred_rmse,0.004429208976173658,0.004267389306383989,0.004598361250476468,0.0
inmet_hourly,graphcast_era5,station,25.0,1,centred_rmse,0.06345015870649497,0.06179367497263989,0.06503410565633409,0.0
inmet_hourly,graphcast_era5,station,50.0,1,centred_rmse,0.1831346441648405,0.17880910738322606,0.18726520104175975,0.0
inmet_hourly,graphcast_era5,station,100.0,1,centred_rmse,0.355875986241403,0.3488566830562065,0.3628641849006101,0.0
inmet_hourly,graphcast_era5,station,12.5,3,centred_rmse,0.0044233245072676335,0.0041818552174362365,0.004664010421714204,0.0
inmet_hourly,graphcast_era5,station,25.0,3,centred_rmse,0.0634046544736397,0.06092194640209885,0.06589489971687537,0.0
inmet_hourly,graphcast_era5,station,50.0,3,centred_rmse,0.18302638456434212,0.1767996966522589,0.18936804583817585,0.0
inmet_hourly,graphcast_era5,station,100.0,3,centred_rmse,0.3557065009678476,0.3460155852274904,0.3657667582652489,0.0
