network,model,reference,sigma_km,mse_c2,bias_c,bias_squared_c2,centred_mse_c2
midas_open_uk,ifs_hres,station,25.0,2.31159499981845,-0.2677047538164535,0.07166583521592797,2.2399291646025223
midas_open_uk,ifs_hres,station,50.0,2.7056373058499608,-0.15301299096283053,0.023412975403391257,2.6822243304465694
midas_open_uk,ifs_hres,station,100.0,3.602326904506102,0.03452878161253788,0.0011922367596463343,3.601134667746456
midas_open_uk,pangu_era5,era5,0.0,0.5642381756431634,-0.01758188262121268,0.00030912259650610043,0.5639290530466573
midas_open_uk,pangu_era5,era5,12.5,0.5690737035821178,-0.014703125560583175,0.0002161819012502743,0.5688575216808676
midas_open_uk,pangu_era5,era5,25.0,0.6623566251459821,0.012917630675884709,0.00016686518227855763,0.6621897599637036
midas_open_uk,pangu_era5,era5,50.0,1.0392635923879905,0.08880117012628713,0.00788564781579779,1.0313779445721927
midas_open_uk,pangu_era5,era5,100.0,1.9706927342549756,0.2234209644637421,0.04991692736190871,1.920775806893067
midas_open_uk,pangu_era5,station,0.0,2.186375551376728,0.004633538455942494,2.1469678622697954e-05,2.1863540816981053
midas_open_uk,pangu_era5,station,12.5,2.2026356738356188,0.007512295516571997,5.6434583928307734e-05,2.2025792392516905
midas_open_uk,pangu_era5,station,25.0,2.3362030628940755,0.03513305175303988,0.0012343313254817784,2.3349687315685936
midas_open_uk,pangu_era5,station,50.0,2.7646679847630145,0.11101659120344232,0.012324683522432225,2.752343301240582
midas_open_uk,pangu_era5,station,100.0,3.739525270941969,0.24563638554089726,0.060337233901596315,3.6791880370403724
midas_open_uk,pangu_hres_init,era5,0.0,0.6691905544919673,-0.1432510544652634,0.02052086460540986,0.6486696898865574
midas_open_uk,pangu_hres_init,era5,12.5,0.657540787221737,-0.137471652872382,0.018898455343464696,0.6386423318782724
midas_open_uk,pangu_hres_init,era5,25.0,0.7265214869124673,-0.0961637478293743,0.00924746639659149,0.7172740205158759
midas_open_uk,pangu_hres_init,era5,50.0,1.1142559598692723,-0.004502652194444352,2.027387678413454e-05,1.1142356859924882
midas_open_uk,pangu_hres_init,era5,100.0,2.084694464344452,0.14861358544497152,0.022085997778809853,2.062608466565642
midas_open_uk,pangu_hres_init,station,0.0,2.2347448963116525,-0.12103563338810816,0.014649624549660524,2.220095271761992
midas_open_uk,pangu_hres_init,station,12.5,2.2663787597805096,-0.11525623179522683,0.013283998967635055,2.2530947608128744
midas_open_uk,pangu_hres_init,station,25.0,2.426932750136172,-0.07394832675221912,0.0054683550294529655,2.421464395106719
